2025-10-01T11:57:52.487718,(2(0)-1759345072:487718),CDHDeployment.systemResources.MEMORY_TOTAL,18944,426836 KB
2025-10-01T11:57:52.487725,(2(0)-1759345072:487725),CDHDeployment.systemResources.MEMORY_USED,18945,120616 KB
2025-10-01T11:57:52.487752,(2(0)-1759345072:487752),CDHDeployment.systemResources.NON_VOLATILE_FREE,18947,55507608 KB
2025-10-01T11:57:52.487756,(2(0)-1759345072:487756),CDHDeployment.systemResources.NON_VOLATILE_TOTAL,18946,60785600 KB
2025-10-01T11:57:52.487848,(2(0)-1759345072:487848),CDHDeployment.comQueue.comQueueDepth,1792,['1', '1']
2025-10-01T11:57:52.487860,(2(0)-1759345072:487860),CDHDeployment.comQueue.buffQueueDepth,1793,['0']
2025-10-01T11:57:53.485063,(2(0)-1759345073:485063),CDHDeployment.systemResources.CPU_00,18949,18.18 percent
2025-10-01T11:57:53.485865,(2(0)-1759345073:485865),CDHDeployment.systemResources.CPU_01,18950,18.00 percent
2025-10-01T11:57:53.486763,(2(0)-1759345073:486763),CDHDeployment.systemResources.CPU_02,18951,15.15 percent
2025-10-01T11:57:53.487850,(2(0)-1759345073:487850),CDHDeployment.systemResources.CPU_03,18952,9.18 percent
2025-10-01T11:57:53.487854,(2(0)-1759345073:487854),CDHDeployment.systemResources.CPU,18948,15.13 percent
2025-10-01T11:57:53.487880,(2(0)-1759345073:487880),CDHDeployment.systemResources.MEMORY_TOTAL,18944,426836 KB
2025-10-01T11:57:53.487885,(2(0)-1759345073:487885),CDHDeployment.systemResources.MEMORY_USED,18945,123536 KB
2025-10-01T11:57:53.487912,(2(0)-1759345073:487912),CDHDeployment.systemResources.NON_VOLATILE_FREE,18947,55507608 KB
2025-10-01T11:57:53.487916,(2(0)-1759345073:487916),CDHDeployment.systemResources.NON_VOLATILE_TOTAL,18946,60785600 KB
2025-10-01T11:57:53.488009,(2(0)-1759345073:488009),CDHDeployment.comQueue.comQueueDepth,1792,['1', '1']
2025-10-01T11:57:53.488019,(2(0)-1759345073:488019),CDHDeployment.comQueue.buffQueueDepth,1793,['0']
2025-10-01T11:57:54.484914,(2(0)-1759345074:484914),CDHDeployment.systemResources.CPU_00,18949,20.79 percent
2025-10-01T11:57:54.485714,(2(0)-1759345074:485714),CDHDeployment.systemResources.CPU_01,18950,16.16 percent
2025-10-01T11:57:54.486612,(2(0)-1759345074:486612),CDHDeployment.systemResources.CPU_02,18951,15.46 percent
2025-10-01T11:57:54.487676,(2(0)-1759345074:487676),CDHDeployment.systemResources.CPU_03,18952,7.07 percent
2025-10-01T11:57:54.487681,(2(0)-1759345074:487681),CDHDeployment.systemResources.CPU,18948,14.87 percent
2025-10-01T11:57:54.487707,(2(0)-1759345074:487707),CDHDeployment.systemResources.MEMORY_TOTAL,18944,426836 KB
2025-10-01T11:57:54.487714,(2(0)-1759345074:487714),CDHDeployment.systemResources.MEMORY_USED,18945,119708 KB
2025-10-01T11:57:54.487763,(2(0)-1759345074:487763),CDHDeployment.systemResources.NON_VOLATILE_FREE,18947,55507608 KB
2025-10-01T11:57:54.487770,(2(0)-1759345074:487770),CDHDeployment.systemResources.NON_VOLATILE_TOTAL,18946,60785600 KB
2025-10-01T11:57:54.487857,(2(0)-1759345074:487857),CDHDeployment.comQueue.comQueueDepth,1792,['1', '1']
2025-10-01T11:57:54.487870,(2(0)-1759345074:487870),CDHDeployment.comQueue.buffQueueDepth,1793,['0']
2025-10-01T11:57:55.485041,(2(0)-1759345075:485041),CDHDeployment.systemResources.CPU_00,18949,14.85 percent
2025-10-01T11:57:55.485891,(2(0)-1759345075:485891),CDHDeployment.systemResources.CPU_01,18950,20.62 percent
2025-10-01T11:57:55.486803,(2(0)-1759345075:486803),CDHDeployment.systemResources.CPU_02,18951,16.00 percent
2025-10-01T11:57:55.487870,(2(0)-1759345075:487870),CDHDeployment.systemResources.CPU_03,18952,9.28 percent
2025-10-01T11:57:55.487875,(2(0)-1759345075:487875),CDHDeployment.systemResources.CPU,18948,15.19 percent
2025-10-01T11:57:55.487896,(2(0)-1759345075:487896),CDHDeployment.systemResources.MEMORY_TOTAL,18944,426836 KB
2025-10-01T11:57:55.487900,(2(0)-1759345075:487900),CDHDeployment.systemResources.MEMORY_USED,18945,115092 KB
2025-10-01T11:57:55.487923,(2(0)-1759345075:487923),CDHDeployment.systemResources.NON_VOLATILE_FREE,18947,55507608 KB
2025-10-01T11:57:55.487926,(2(0)-1759345075:487926),CDHDeployment.systemResources.NON_VOLATILE_TOTAL,18946,60785600 KB
2025-10-01T11:57:55.488032,(2(0)-1759345075:488032),CDHDeployment.comQueue.comQueueDepth,1792,['1', '1']
2025-10-01T11:57:55.488042,(2(0)-1759345075:488042),CDHDeployment.comQueue.buffQueueDepth,1793,['0']
2025-10-01T11:57:56.484908,(2(0)-1759345076:484908),CDHDeployment.systemResources.CPU_00,18949,17.17 percent
2025-10-01T11:57:56.485704,(2(0)-1759345076:485704),CDHDeployment.systemResources.CPU_01,18950,13.27 percent
2025-10-01T11:57:56.486777,(2(0)-1759345076:486777),CDHDeployment.systemResources.CPU_02,18951,13.40 percent
2025-10-01T11:57:56.487909,(2(0)-1759345076:487909),CDHDeployment.systemResources.CPU_03,18952,13.27 percent
2025-10-01T11:57:56.487914,(2(0)-1759345076:487914),CDHDeployment.systemResources.CPU,18948,14.28 percent
2025-10-01T11:57:56.487936,(2(0)-1759345076:487936),CDHDeployment.systemResources.MEMORY_TOTAL,18944,426836 KB
2025-10-01T11:57:56.487941,(2(0)-1759345076:487941),CDHDeployment.systemResources.MEMORY_USED,18945,116288 KB
2025-10-01T11:57:56.487963,(2(0)-1759345076:487963),CDHDeployment.systemResources.NON_VOLATILE_FREE,18947,55507608 KB
2025-10-01T11:57:56.487967,(2(0)-1759345076:487967),CDHDeployment.systemResources.NON_VOLATILE_TOTAL,18946,60785600 KB
2025-10-01T11:57:56.488065,(2(0)-1759345076:488065),CDHDeployment.comQueue.comQueueDepth,1792,['1', '1']
2025-10-01T11:57:56.488074,(2(0)-1759345076:488074),CDHDeployment.comQueue.buffQueueDepth,1793,['0']
2025-10-01T11:57:57.484956,(2(0)-1759345077:484956),CDHDeployment.systemResources.CPU_00,18949,18.37 percent
2025-10-01T11:57:57.485756,(2(0)-1759345077:485756),CDHDeployment.systemResources.CPU_01,18950,16.16 percent
2025-10-01T11:57:57.486653,(2(0)-1759345077:486653),CDHDeployment.systemResources.CPU_02,18951,14.29 percent
2025-10-01T11:57:57.487753,(2(0)-1759345077:487753),CDHDeployment.systemResources.CPU_03,18952,10.20 percent
2025-10-01T11:57:57.487757,(2(0)-1759345077:487757),CDHDeployment.systemResources.CPU,18948,14.75 percent
2025-10-01T11:57:57.487778,(2(0)-1759345077:487778),CDHDeployment.systemResources.MEMORY_TOTAL,18944,426836 KB
2025-10-01T11:57:57.487782,(2(0)-1759345077:487782),CDHDeployment.systemResources.MEMORY_USED,18945,117960 KB
2025-10-01T11:57:57.487805,(2(0)-1759345077:487805),CDHDeployment.systemResources.NON_VOLATILE_FREE,18947,55507608 KB
2025-10-01T11:57:57.487808,(2(0)-1759345077:487808),CDHDeployment.systemResources.NON_VOLATILE_TOTAL,18946,60785600 KB
2025-10-01T11:57:57.487887,(2(0)-1759345077:487887),CDHDeployment.comQueue.comQueueDepth,1792,['1', '1']
2025-10-01T11:57:57.487897,(2(0)-1759345077:487897),CDHDeployment.comQueue.buffQueueDepth,1793,['0']
2025-10-01T11:57:58.484943,(2(0)-1759345078:484943),CDHDeployment.systemResources.CPU_00,18949,15.31 percent
2025-10-01T11:57:58.485750,(2(0)-1759345078:485750),CDHDeployment.systemResources.CPU_01,18950,20.00 percent
2025-10-01T11:57:58.486651,(2(0)-1759345078:486651),CDHDeployment.systemResources.CPU_02,18951,10.20 percent
2025-10-01T11:57:58.487749,(2(0)-1759345078:487749),CDHDeployment.systemResources.CPU_03,18952,13.27 percent
2025-10-01T11:57:58.487753,(2(0)-1759345078:487753),CDHDeployment.systemResources.CPU,18948,14.69 percent
2025-10-01T11:57:58.487774,(2(0)-1759345078:487774),CDHDeployment.systemResources.MEMORY_TOTAL,18944,426836 KB
2025-10-01T11:57:58.487779,(2(0)-1759345078:487779),CDHDeployment.systemResources.MEMORY_USED,18945,117724 KB
2025-10-01T11:57:58.487802,(2(0)-1759345078:487802),CDHDeployment.systemResources.NON_VOLATILE_FREE,18947,55507608 KB
2025-10-01T11:57:58.487805,(2(0)-1759345078:487805),CDHDeployment.systemResources.NON_VOLATILE_TOTAL,18946,60785600 KB
2025-10-01T11:57:58.487892,(2(0)-1759345078:487892),CDHDeployment.comQueue.comQueueDepth,1792,['1', '1']
2025-10-01T11:57:58.487903,(2(0)-1759345078:487903),CDHDeployment.comQueue.buffQueueDepth,1793,['0']
2025-10-01T11:57:59.485091,(2(0)-1759345079:485091),CDHDeployment.systemResources.CPU_00,18949,13.73 percent
2025-10-01T11:57:59.485918,(2(0)-1759345079:485918),CDHDeployment.systemResources.CPU_01,18950,18.56 percent
2025-10-01T11:57:59.487007,(2(0)-1759345079:487007),CDHDeployment.systemResources.CPU_02,18951,17.53 percent
2025-10-01T11:57:59.488104,(2(0)-1759345079:488104),CDHDeployment.systemResources.CPU_03,18952,11.22 percent
2025-10-01T11:57:59.488108,(2(0)-1759345079:488108),CDHDeployment.systemResources.CPU,18948,15.26 percent
2025-10-01T11:57:59.488128,(2(0)-1759345079:488128),CDHDeployment.systemResources.MEMORY_TOTAL,18944,426836 KB
2025-10-01T11:57:59.488133,(2(0)-1759345079:488133),CDHDeployment.systemResources.MEMORY_USED,18945,119720 KB
2025-10-01T11:57:59.488155,(2(0)-1759345079:488155),CDHDeployment.systemResources.NON_VOLATILE_FREE,18947,55507608 KB
2025-10-01T11:57:59.488158,(2(0)-1759345079:488158),CDHDeployment.systemResources.NON_VOLATILE_TOTAL,18946,60785600 KB
2025-10-01T11:57:59.488307,(2(0)-1759345079:488307),CDHDeployment.comQueue.comQueueDepth,1792,['1', '1']
2025-10-01T11:57:59.488319,(2(0)-1759345079:488319),CDHDeployment.comQueue.buffQueueDepth,1793,['0']
2025-10-01T11:57:59.484323,(2(0)-1759345079:484323),CDHDeployment.rateGroup3.RgMaxTime,1024,688 us
2025-10-01T11:58:00.484980,(2(0)-1759345080:484980),CDHDeployment.systemResources.CPU_00,18949,8.42 percent
2025-10-01T11:58:00.485786,(2(0)-1759345080:485786),CDHDeployment.systemResources.CPU_01,18950,20.41 percent
2025-10-01T11:58:00.486677,(2(0)-1759345080:486677),CDHDeployment.systemResources.CPU_02,18951,15.46 percent
