[2025-11-05 19:14:13,519] [INFO] root: Logging system initialized!
[2025-11-05 19:14:13,521] [INFO] comm: Starting uplinker/downlinker connecting to FSW using ip with space-packet-space-data-link
[2025-11-05 19:14:13,523] [INFO] udp_handler: Client connected to 192.168.1.11:50000
[2025-11-05 19:14:13,526] [INFO] transport: Incoming binding to: ipc:///tmp/fprime-server-in
[2025-11-05 19:14:13,695] [INFO] tcp_handler: Client connected to 192.168.1.11:50000
[2025-11-05 19:14:14,024] [INFO] transport: Outgoing binding to: ipc:///tmp/fprime-server-out
[2025-11-05 20:29:07,832] [WARNING] tcp_handler: Read failure attempting reconnection. OSError: [Errno 113] No route to host
[2025-11-05 20:33:50,650] [WARNING] tcp_handler: Failed to open socket at 192.168.1.11:50000, retrying: OSError: [Errno 113] No route to host
[2025-11-05 20:33:54,714] [WARNING] tcp_handler: Failed to open socket at 192.168.1.11:50000, retrying: OSError: [Errno 113] No route to host
[2025-11-05 20:34:01,905] [WARNING] tcp_handler: Failed to open socket at 192.168.1.11:50000, retrying: OSError: [Errno 113] No route to host
[2025-11-05 20:34:05,969] [WARNING] tcp_handler: Failed to open socket at 192.168.1.11:50000, retrying: OSError: [Errno 113] No route to host
[2025-11-05 20:34:10,033] [WARNING] tcp_handler: Failed to open socket at 192.168.1.11:50000, retrying: OSError: [Errno 113] No route to host
[2025-11-05 20:34:14,097] [WARNING] tcp_handler: Failed to open socket at 192.168.1.11:50000, retrying: OSError: [Errno 113] No route to host
[2025-11-05 20:34:18,161] [WARNING] tcp_handler: Failed to open socket at 192.168.1.11:50000, retrying: OSError: [Errno 113] No route to host
[2025-11-05 20:34:22,225] [WARNING] tcp_handler: Failed to open socket at 192.168.1.11:50000, retrying: OSError: [Errno 113] No route to host
[2025-11-05 20:34:26,293] [WARNING] tcp_handler: Failed to open socket at 192.168.1.11:50000, retrying: OSError: [Errno 113] No route to host
[2025-11-05 20:34:30,353] [WARNING] tcp_handler: Failed to open socket at 192.168.1.11:50000, retrying: OSError: [Errno 113] No route to host
[2025-11-05 20:34:37,603] [WARNING] tcp_handler: Failed to open socket at 192.168.1.11:50000, retrying: OSError: [Errno 113] No route to host
[2025-11-05 20:34:41,667] [WARNING] tcp_handler: Failed to open socket at 192.168.1.11:50000, retrying: OSError: [Errno 113] No route to host
[2025-11-05 20:34:45,731] [WARNING] tcp_handler: Failed to open socket at 192.168.1.11:50000, retrying: OSError: [Errno 113] No route to host
[2025-11-05 20:34:49,795] [WARNING] tcp_handler: Failed to open socket at 192.168.1.11:50000, retrying: OSError: [Errno 113] No route to host
[2025-11-05 20:34:53,859] [WARNING] tcp_handler: Failed to open socket at 192.168.1.11:50000, retrying: OSError: [Errno 113] No route to host
[2025-11-05 20:34:57,923] [WARNING] tcp_handler: Failed to open socket at 192.168.1.11:50000, retrying: OSError: [Errno 113] No route to host
[2025-11-05 20:35:01,987] [WARNING] tcp_handler: Failed to open socket at 192.168.1.11:50000, retrying: OSError: [Errno 113] No route to host
[2025-11-05 20:35:06,051] [WARNING] tcp_handler: Failed to open socket at 192.168.1.11:50000, retrying: OSError: [Errno 113] No route to host
[2025-11-05 20:35:12,819] [WARNING] tcp_handler: Failed to open socket at 192.168.1.11:50000, retrying: OSError: [Errno 113] No route to host
[2025-11-05 20:35:16,883] [WARNING] tcp_handler: Failed to open socket at 192.168.1.11:50000, retrying: OSError: [Errno 113] No route to host
[2025-11-05 20:35:20,947] [WARNING] tcp_handler: Failed to open socket at 192.168.1.11:50000, retrying: OSError: [Errno 113] No route to host
[2025-11-05 20:35:25,011] [WARNING] tcp_handler: Failed to open socket at 192.168.1.11:50000, retrying: OSError: [Errno 113] No route to host
